Overall_group,Family,Genus,Species,Size_NOW,Size_Smith,Size_Phylacine,P4,M1,M2,m1,m2,m3,m1-m3,Source_P4,Note_P4,Source_M1,Note_M1,Source_M2,Note_M2,Source_m1,Note_m1,Source_m2,Note_m2,Source_m3,Note_m3,Source_m1-m3,Note_m1-m3,Status
Carnivoramorpha,Hyanidae,Lycyaena,dubia,NA,NA,NA,32.03,NA,NA,23.08,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Smilodon,gracilis,NA,52.52,NA,32.05,NA,NA,22.7,NA,NA,NA,Rincon et al (2011) Journal of Vertebrate Paleontology 31 468-478,Midpoint of range,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Borophagus,dudleyi,NA,NA,NA,32.2,NA,NA,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Chasmaporthetes,exitelus,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,Tseng et al (2013) Journal of Vertebrate Paleontology 33 1457-1471,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Indarctos,zdanskyi,NA,NA,NA,32.8,NA,NA,42.5,NA,NA,NA,Qiu & Tedford (2003) Vertebratea PalAsiatica 41 278-288,Reported value,NA,NA,NA,NA,Qiu & Tedford (2003) Vertebratea PalAsiatica 41 278-288,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Dinofelis,petteri,NA,NA,NA,32.9,NA,NA,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Epicyon,haydeni,42,71.05,NA,32.97,NA,NA,36.25,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Panthera,onca,NA,77.11,100,33,NA,NA,22.6,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Lycyaena,choeretis,40,39.99,NA,33.08,NA,NA,23.1,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Chasmaporthetes,lunensis,NA,75.86,NA,33.3,NA,NA,24.87,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicyonidae,Agnotherium,antiquum,158,NA,NA,33.4,NA,NA,31.65,NA,NA,NA,Morlo et al (2019) Journal of Vertebrate Paleontology 39 e1705848,Reported value,NA,NA,NA,NA,Morlo et al (2019) Journal of Vertebrate Paleontology 39 e1705848,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Dinofelis,diastemata,NA,NA,NA,33.6,NA,NA,24.8,NA,NA,NA,Lacruz et al (2006) Annals of the Transvaal Museum 43 89-106,Midpoint of range,NA,NA,NA,NA,Lacruz et al (2006) Annals of the Transvaal Museum 43 89-106,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Chasmaporthetes,borissiaki,NA,NA,NA,33.75,NA,NA,24.8,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicyonidae,Ischyrocyon,gidleyi,NA,219.31,NA,33.8,NA,NA,38.9,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Nimravidae,Quercylurus,major,NA,NA,NA,34.13,NA,NA,NA,NA,NA,NA,Peigne (2002) Zoologica Scripta 32 199-229,Reported mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Parahyaena,brunnea,NA,NA,32.2,34.21,NA,NA,23.35,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Panthera,tigris,220,NA,162.56,34.6,NA,NA,NA,NA,NA,NA,"Qiu et al (2004) Palaeontologia Sinica, New Series C 191 1-198",Midpoint of range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Chasmaporthetes,bonisi,NA,NA,NA,34.75,NA,NA,27.8,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Dinofelis,aronoki,NA,NA,NA,34.8,NA,NA,26.9,NA,NA,NA,O’Regan & Steininger (2017) Geodiversitas 39 315-332,Reported value,NA,NA,NA,NA,O’Regan & Steininger (2017) Geodiversitas 39 315-332,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Megistotherium,osteothlastes,NA,734.66,NA,34.9,40.7,47,28.5,47.9,70,NA,Borths & Stevens (2019) Journal of Vertebrate Paleontology 39 e1570222,Reported value,Borths & Stevens (2019) Journal of Vertebrate Paleontology 39 e1570222,Reported value,Borths & Stevens (2019) Journal of Vertebrate Paleontology 39 e1570222,Reported value,Borths & Stevens (2019) Journal of Vertebrate Paleontology 39 e1570222,Reported value,Borths & Stevens (2019) Journal of Vertebrate Paleontology 39 e1570222,Reported value,Borths & Stevens (2019) Journal of Vertebrate Paleontology 39 e1570222,Reported value,NA,NA,Accepted
Carnivoramorpha,Amphicyonidae,Amphicyon,ingens,NA,416.47,NA,35.1,NA,NA,40.45,NA,NA,NA,Hunt (2003) Bulletin of the American Museum of Natural History 279 77-115,Midpoint of range,NA,NA,NA,NA,Hunt (2003) Bulletin of the American Museum of Natural History 279 77-115,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Dinofelis,barlowi,NA,NA,NA,35.15,NA,NA,27.5,NA,NA,NA,Lacruz et al (2006) Annals of the Transvaal Museum 43 89-106,Midpoint of range,NA,NA,NA,NA,Lacruz et al (2006) Annals of the Transvaal Museum 43 89-106,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Pliocrocuta,perrieri,NA,79.43,NA,35.18,NA,NA,24.85,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Crocuta,crocuta,75,NA,63,36.04,NA,NA,27.99,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Dinofelis,cristata,NA,NA,NA,36.4,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Hyaenictis,almerai,NA,NA,NA,37.5,NA,NA,24,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Adcrocuta,eximia,70,69.98,NA,37.9,NA,NA,27.66,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Hyaenodon,gigas,NA,NA,NA,38,22,54,NA,NA,NA,NA,Dashzeveg (1985) Annales de Paléontologie 71 223-256,Reported value,Dashzeveg (1985) Annales de Paléontologie 71 223-256,Reported value,Dashzeveg (1985) Annales de Paléontologie 71 223-256,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Lokotunjailurus,emageritus,NA,NA,NA,38.2,NA,NA,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Homotherium,ischyrus,NA,NA,NA,38.5,NA,NA,30.1,NA,NA,NA,Rincon et al (2011) Journal of Vertebrate Paleontology 31 468-478,Reported value,NA,NA,NA,NA,Rincon et al (2011) Journal of Vertebrate Paleontology 31 468-478,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Homotherium,serum,NA,161.03,189,39.05,NA,NA,27.85,NA,NA,NA,Rincon et al (2011) Journal of Vertebrate Paleontology 31 468-478,Midpoint of range,NA,NA,NA,NA,Rincon et al (2011) Journal of Vertebrate Paleontology 31 468-478,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Chasmaporthetes,australis,NA,NA,NA,39.1,NA,NA,28.67,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Nimravides,catacopsis,NA,NA,NA,39.6,NA,NA,30.6,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Allohyaena,kadici,75,74.99,NA,39.8,NA,NA,26.47,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Barbourofelidae,Barbourofelis,piveteaui,150,NA,NA,40.3,NA,NA,26.6,NA,NA,NA,Geraads & Güleç (1997) Journal of Vertebrate Paleontology 17 370-375,Reported value,NA,NA,NA,NA,Geraads & Güleç (1997) Journal of Vertebrate Paleontology 17 370-375,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Dinofelis,piveteaui,NA,NA,NA,40.4,NA,NA,28.95,NA,NA,NA,Lacruz et al (2006) Annals of the Transvaal Museum 43 89-106,Midpoint of range,NA,NA,NA,NA,Lacruz et al (2006) Annals of the Transvaal Museum 43 89-106,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Percrocutidae,Dinocrocuta,algeriensis,NA,NA,NA,40.6,NA,NA,26.8,NA,NA,NA,Spassov & Koufos (2002) Mitteilungen der Bayerischen Staatssammlung für Paläontologie und Historie. Geologie 42 83-101,Inferred based on figure,NA,NA,NA,NA,Spassov & Koufos (2002) Mitteilungen der Bayerischen Staatssammlung für Paläontologie und Historie. Geologie 42 83-101,Inferred based on figure,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Crocuta,eturono,NA,NA,NA,41,NA,NA,32.8,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Homotherium,latidens,NA,231.21,189,41.15,NA,NA,29.2,NA,NA,NA,Sardella & Iurino (2012) Bollettino della Società Paleontologica Italiana 51 15-22,Midpoint of range,NA,NA,NA,NA,Sardella & Iurino (2012) Bollettino della Società Paleontologica Italiana 51 15-22,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Pachycrocuta,brevirostris,120,119.95,NA,41.16,NA,NA,29.2,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Xenosmilus,hodsonae,NA,NA,NA,41.3,NA,NA,32,NA,NA,NA,Rincon et al (2011) Journal of Vertebrate Paleontology 31 468-478,Reported value,NA,NA,NA,NA,Rincon et al (2011) Journal of Vertebrate Paleontology 31 468-478,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Smilodon,fatalis,NA,170.21,219,41.65,NA,NA,27.5,NA,NA,NA,Rincon et al (2011) Journal of Vertebrate Paleontology 31 468-478,Midpoint of range,NA,NA,NA,NA,Rincon et al (2011) Journal of Vertebrate Paleontology 31 468-478,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Smilodon,populator,NA,149.97,294.5,42.65,NA,NA,28.9,NA,NA,NA,Rincon et al (2011) Journal of Vertebrate Paleontology 31 468-478,Midpoint of range,NA,NA,NA,NA,Rincon et al (2011) Journal of Vertebrate Paleontology 31 468-478,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Percrocutidae,Percrocuta,leakeyi,NA,NA,NA,43.9,NA,NA,NA,NA,NA,NA,Morales & Pickford (2006) Annales de Paléontologie 92 359-366,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Percrocutidae,Dinocrocuta,salonicae,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Spassov & Koufos (2002) Mitteilungen der Bayerischen Staatssammlung für Paläontologie und Historie. Geologie 42 83-101,Inferred based on figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Percrocutidae,Dinocrocuta,senyureki,110,NA,NA,50.6,NA,NA,30.8,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Percrocutidae,Dinocrocuta,gigantea,NA,380.19,NA,54.8,NA,NA,36,NA,NA,NA,Spassov & Koufos (2002) Mitteilungen der Bayerischen Staatssammlung für Paläontologie und Historie. Geologie 42 83-101,Inferred based on figure,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Marcetia,santigae,1.6,NA,NA,8.5,NA,NA,NA,NA,NA,NA,Petter (1967) Annales de Paleontologie 53 93-117,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Thereutherium,thylacodes,NA,NA,NA,NA,NA,NA,2.5,2.5,2.5,7.5,NA,NA,NA,NA,NA,NA,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Calculated as m1-m3 divided by number of lower carnassial teeth,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Calculated as m1-m3 divided by number of lower carnassial teeth,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Calculated as m1-m3 divided by number of lower carnassial teeth,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Midpoint of range,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Prototomus,viverrinus,NA,NA,NA,NA,NA,5,4.5,4.5,4.5,13.5,NA,NA,NA,NA,"Gingerich & Deutsch (1989) Contributions from the Museum of Paleontology, University of Michigan 27 327-391",Reported value,Matthew (1909) Memoirs of the American Museum of Natural History 9 291-576,Calculated as m1-m3 divided by number of lower carnassial teeth,Matthew (1909) Memoirs of the American Museum of Natural History 9 291-576,Calculated as m1-m3 divided by number of lower carnassial teeth,Matthew (1909) Memoirs of the American Museum of Natural History 9 291-576,Calculated as m1-m3 divided by number of lower carnassial teeth,Matthew (1909) Memoirs of the American Museum of Natural History 9 291-576,Reported value,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Oxyaenodon,dysodus,NA,41.08,NA,NA,NA,Not Present,10,1,Not Present,20,NA,NA,NA,NA,NA,NA,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Calculated as m1-m3 divided by number of lower carnassial teeth,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Calculated as m1-m3 divided by number of lower carnassial teeth,NA,NA,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Reported value,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Palaeonictis,gigantea,NA,NA,NA,NA,NA,NA,11.6,11.6,Not Present,23.2,NA,NA,NA,NA,NA,NA,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Calculated as m1-m3 divided by number of lower carnassial teeth,NA,NA,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Reported value,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Paracynohyaenodon,magnus,NA,NA,NA,NA,NA,NA,8.33,8.33,8.33,24.99,NA,NA,NA,NA,NA,NA,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Reported value,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Hyaenodon,rossignoli,NA,NA,NA,NA,NA,NA,8.7,8.7,8.7,26.1,NA,NA,NA,NA,NA,NA,Sole et al (2015) PLoS One 10 e0135698,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2015) PLoS One 10 e0135698,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2015) PLoS One 10 e0135698,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2015) PLoS One 10 e0135698,Reported value,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Metapterodon,brachycephalus,NA,NA,NA,NA,NA,NA,NA,NA,19,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Reported value,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Reported value,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Hyaenodon,leptorhynchus,NA,NA,NA,NA,NA,NA,11.27,11.27,11.27,33.8,NA,NA,NA,NA,NA,NA,Sole et al (2018) Palaios 33 514-523,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2018) Palaios 33 514-523,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2018) Palaios 33 514-523,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2018) Palaios 33 514-523,Reported mean,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Patriofelis,ferox,NA,64.99,NA,NA,NA,NA,17.75,17.75,Not Present,35.5,NA,NA,NA,NA,NA,NA,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Calculated as m1-m3 divided by number of lower carnassial teeth,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Calculated as m1-m3 divided by number of lower carnassial teeth,NA,NA,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Midpoint of range,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Oxyaenoides,bicuspidens,NA,NA,NA,NA,NA,NA,12.1,12.64,12.44,36.25,NA,NA,NA,NA,NA,NA,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Calculated as m1-m3 divided by number of lower carnassial teeth,Michael Morlo pers obs,Reported value,Michael Morlo pers obs,Reported value,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Reported value,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Paroxyaena,pavlovi,NA,NA,NA,NA,NA,NA,17,17,17,50.9,NA,NA,NA,NA,NA,NA,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2015) PLoS One 10 e0135698,Reported value,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Pterodon,dasyuroides,NA,NA,NA,NA,NA,NA,17.45,17.45,17.45,52.35,NA,NA,NA,NA,NA,NA,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2015) PLoS One 10 e0135698,Reported value,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Parapterodon,lostangensis,NA,NA,NA,NA,NA,NA,20.94,20.94,20.94,62.82,NA,NA,NA,NA,NA,NA,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Calculated as m1-m3 divided by number of lower carnassial teeth,Sole et al (2015) PLoS One 10 e0135698,Reported value,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Sarkastodon,mongoliensis,NA,NA,NA,NA,NA,NA,31.3,50,Not Present,76.5,NA,NA,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,Lars Werdelin Pers Obs,Reported value,NA,NA,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Midpoint of range,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Paroxyaena,galliae,NA,NA,NA,NA,NA,NA,15.61,18.72,20.45,50.9,NA,NA,NA,NA,NA,NA,Michael Morlo pers obs,Reported value,Michael Morlo pers obs,Reported value,Michael Morlo pers obs,Reported value,Sole et al (2015) PLoS One 10 e0135698,Reported value,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Hyaenodon,megaloides,NA,NA,NA,NA,NA,NA,14.1,NA,33.8,76,NA,NA,NA,NA,NA,NA,Lavrov & Emry (1998) Journal of Paleontology 72 752-757,Reported value,NA,NA,Lavrov & Emry (1998) Journal of Paleontology 72 752-757,Reported value,Lavrov & Emry (1998) Journal of Paleontology 72 752-757,Reported value,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Oxyaena,lupina,NA,17.86,NA,NA,NA,NA,13.3,15.69,Not Present,28.75,NA,NA,NA,NA,NA,NA,Michael Morlo pers obs,Reported value,Michael Morlo pers obs,Reported value,NA,NA,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Midpoint of range,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Matthodon,tritens,NA,NA,NA,NA,NA,NA,13.04,13.53,13.79,33.23,NA,NA,NA,NA,NA,NA,Michael Morlo pers obs,Reported value,Michael Morlo pers obs,Reported value,Michael Morlo pers obs,Reported value,Michael Morlo pers obs,Reported value,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Oxyaenoides,schlosseri,NA,NA,NA,NA,NA,NA,12.56,12.91,12.65,38.12,NA,NA,NA,NA,NA,NA,Sole et al (2015) Palaeontology 58 1049-1072,Reported value,Sole et al (2015) Palaeontology 58 1049-1072,Reported value,Sole et al (2015) Palaeontology 58 1049-1072,Reported value,Sole et al (2015) Palaeontology 58 1049-1072,Reported value,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Prodissopsalis,eocaenicus,NA,NA,NA,NA,14.8,NA,12.1,13.7,14.73,39.33,NA,NA,Morlo & Habersetzer (1999) Courier Forschungsinstitut Senckenberg 216 31-73,Midpoint of range,NA,NA,Michael Morlo pers obs,Reported value,Michael Morlo pers obs,Reported value,Michael Morlo pers obs,Reported value,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Midpoint of range,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Limnocyon,potens,NA,37.51,NA,NA,NA,Not Present,11.5,11.3,Not Present,21.5,NA,NA,NA,NA,NA,NA,Michael Morlo pers obs,Reported value,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Calculated as m1-m3 divided by number of lower carnassial teeth,NA,NA,Denison (1938) Annals of the New York Academy of Sciences 37 163-257,Midpoint of range,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Paenoxyaenoides,liguritor,NA,NA,NA,NA,NA,NA,11,13.7,14.1,38.8,NA,NA,NA,NA,NA,NA,Lange-Badre (1979) Memoires du Muséum National d’Histoire Naturelle 42 1-249,Reported value,Lange-Badre (1979) Memoires du Muséum National d’Histoire Naturelle 42 1-249,Reported value,Lange-Badre (1979) Memoires du Muséum National d’Histoire Naturelle 42 1-249,Reported value,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Reported value,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Oxyaenoides,lindgreni,NA,NA,NA,NA,NA,NA,10.74,11.21,10.59,32.54,NA,NA,NA,NA,NA,NA,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Reported value,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Reported value,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Reported value,Sole et al (2014) Zoological Journal of the Linnean Society 171 878-917,Reported value,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Hyaenodon,gervaisi,NA,NA,NA,NA,NA,NA,10.45,16.4,22.76,52,NA,NA,NA,NA,NA,NA,Michael Morlo pers obs,Reported value,Michael Morlo pers obs,Reported value,Michael Morlo pers obs,Reported value,Sole et al (2018) Palaios 33 514-523,Reported mean,Accepted
