Auhtor,Year ,Journal ,Paper
"Grohé C, Chaimanee Y, Bonis L, Yamee C, Blondel C, Jaeger JJ",2010,Naturwissenschaften 97: 1003 - 1015,"New data on Mustelidae (Carnivora) from Southeast Asia: Siamogale thailandica, a peculiar otter-like mustelid from the late middle Miocene Mae Moh Basin, northern Thailand"
"Grohe C, Morlo M, Chaimanee Y, Blondel C, Coster P, Valentin X, Salem M, Bilal AA, Jaeger JJ, Brunet M",2012,PLoS One 7: e49054,"New Apterodontinae (Hyaenodontida) from the Eocene Locality of Dur At-Talah (Libya): Systematic, paleoecological and phylogenetical implications"
Gunnell GF,1998,"Contributions from the Museum of Paleontology, University of Michigan 30: 83 -130","Mammalian fauna from the Lower Bridger Formation (Bridger A, Early Middle Eocene) of the southern Green River Basin, Wyoming"
"Gunnell GF, Gingerich PD",1991,"Contributions from the Museum of Paleontology, University of Michigan 28: 141 - 180","Systematics and evolution of Late Paleocene and Early Eocene Oxyaenidae (Mammalia, Creodonta) in the Clarks Fork Basin, Wyoming"
Guoqin Q,1983,Acta Anthropologica Sinica 2: 11 - 21,Description of the carnivora fossils from Lufeng
Gustafson EP,1986,Bulletin of the Texas Memorial Museum 33:1 - 66,Carnivorous mammals of the Late Eocene and Early Oligocene of Trans-Pecos Texas
Guthrie DA,1967,Memoirs of the Southern California Academy of Sciences 5: 1 - 53 ,"The mammalian fauna of the Lysite Member, Wind River Formation (early Eocene) of Wyoming"
Gutiérrez Álvarez MM,2011,Book,Taxonomic and ecological characterization of a late Oligocene mammalian fauna from Kenya (PhD thtesis)
"Haile-Selassie Y, WoldeGabriel G ",2009,Book,"Ardipithecus kadabba: Late Miocene Evidence from the Middle Awash, Ethiopia"
Hall RE,1930,Journal of Mammalogy 11: 146 - 155,Three new genera of Mustelidae from the later Tertiary of North America
Hall RE,1931,Journal of Mammalogy 12: 156 - 158,"Description of a new mustelid from the later Tertiary of Oregon, with assignment of Parictis primaevus to the Canidae"
"Hartstone-Rose A, Kuhn BF, Nalla S, Werdelin L, Berger LR",2013,Transactions of the Royal Society of South Africa 68: 1 - 9,"A new species of fox from the Australopithecus sediba type locality, Malapa, South Africa"
"Hartstone-Rose A, Werdelin L, De Ruiter DJ, Berger LR, Churchill SE",2010,Journal of Paleontology 84: 299 - 308 ,"The Plio-Pleistocene ancestor of wild dogs, Lycaon sekowei n. sp"
Hayes FG ,2000,Bulletin of the Florida Museum of Natural History 43: 1 - 47,"The Brooksville 2 local fauna (Arikareean, latest Oligocene): Hernando County, Florida"
"Heinrich RE, Houde P ",2006,Journal of Vertebrate Paleontology 26: 422 - 435,"Postcranial anatomy of Viverravus (Mammalia, Carnivora) and implications for substrate use in basal Carnivora"
"Heinrich RE, Strait SG, Houde P",2008,Journal of Paleontology 82: 154 - 162,Earliest Eocene Miacidae (Mammalia: Carnivora) from northwestern Wyoming
"Heizmann EPJ, Kordikova EG",2000,Carolinea 58: 69 - 82,"Zur systematischen stellung von ""Amphicyon"" intermedius H. V. Meyer, 1849 (Carnivora, Amphicyonidae)"
"Heizmann EPJ, Morlo M",1994,Stuttgarter Beiträge zur Naturkunde B 216: 1 - 25,Amphictis schlosseri n.sp. - eine neue Carnivoren-Art (Mammalia) aus dem Unter-Miozän von Südwestdeutschland
Helbing H,1917,Verhandlungen der Naturforschenden Gesellschaft zu Basel 28: 1001 - 1027,Zur kenntnis einiger Carnivoren aus dem Phryganidenkalk des Allierbeckens
Hendey QB,1974,Annals of the South African Museum 63: 1 - 369,The late Cenozoic Carnivora of the southwestern Cape Province South Africa
