Family,Genus,Species,Size ,Source,Note
Mustelidae,Mustela,subpalmata,0.088,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Mustela,tonkinensis,0.142,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Neovison,macrodon,1.19,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Neovison,vison,0.945,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Poecilogale,albinucha,0.34,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Pteronura,brasiliensis,24,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Taxidea,taxus,7.108,Faurby et al (2018) Ecology 99 2626,Reported value
Mustelidae,Vormela,peregusna,0.45,Faurby et al (2018) Ecology 99 2626,Reported value
Nandiniidae,Nandinia,binotata,2,Faurby et al (2018) Ecology 99 2626,Reported value
Prionodontidae,Prionodon,linsang,0.7,Faurby et al (2018) Ecology 99 2626,Reported value
Prionodontidae,Prionodon,pardicolor,0.512,Faurby et al (2018) Ecology 99 2626,Reported value
Procyonidae,Bassaricyon,alleni,1.235,Faurby et al (2018) Ecology 99 2626,Reported value
Procyonidae,Bassaricyon,gabbii,1.25,Faurby et al (2018) Ecology 99 2626,Reported value
Procyonidae,Bassaricyon,medius,1.262,Faurby et al (2018) Ecology 99 2626,Reported value
Procyonidae,Bassaricyon,neblina,1.443,Faurby et al (2018) Ecology 99 2626,Reported value
Procyonidae,Bassariscus,astutus,1.13,Faurby et al (2018) Ecology 99 2626,Reported value
Procyonidae,Bassariscus,sumichrasti,0.9,Faurby et al (2018) Ecology 99 2626,Reported value
Procyonidae,Nasua,narica,4.03,Faurby et al (2018) Ecology 99 2626,Reported value
Procyonidae,Nasua,nasua,3.794,Faurby et al (2018) Ecology 99 2626,Reported value
Procyonidae,Nasuella,meridensis,1.783,Faurby et al (2018) Ecology 99 2626,Reported value
Procyonidae,Nasuella,olivacea,1.34,Faurby et al (2018) Ecology 99 2626,Reported value
Procyonidae,Potos,flavus,3,Faurby et al (2018) Ecology 99 2626,Reported value
Procyonidae,Procyon,cancrivorus,6.95,Faurby et al (2018) Ecology 99 2626,Reported value
Procyonidae,Procyon,lotor,6.55,Faurby et al (2018) Ecology 99 2626,Reported value
Procyonidae,Procyon,pygmaeus,2.5,Faurby et al (2018) Ecology 99 2626,Reported value
Ursidae,Ailuropoda,melanoleuca,108.4,Faurby et al (2018) Ecology 99 2626,Reported value
Ursidae,Helarctos,malayanus,46.5,Faurby et al (2018) Ecology 99 2626,Reported value
Ursidae,Melursus,ursinus,93.13,Faurby et al (2018) Ecology 99 2626,Reported value
Ursidae,Tremarctos,ornatus,140.001,Faurby et al (2018) Ecology 99 2626,Reported value
Ursidae,Ursus,americanus,99.949,Faurby et al (2018) Ecology 99 2626,Reported value
Ursidae,Ursus,arctos,180.52,Faurby et al (2018) Ecology 99 2626,Reported value
Ursidae,Ursus,maritimus,388.75,Faurby et al (2018) Ecology 99 2626,Reported value
Ursidae,Ursus,thibetanus,77.5,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Arctictis,binturong,9.875,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Arctogalidia,trivirgata,2.25,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Chrotogale,owstoni,3.25,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Civettictis,civetta,12,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Cynogale,bennettii,4.5,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Diplogale,hosei,1.3,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Genetta,abyssinica,1.65,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Genetta,angolensis,1.65,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Genetta,bourloni,1.75,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Genetta,cristata,2.5,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Genetta,genetta,1.8,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Genetta,johnstoni,2.225,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Genetta,maculata,2.225,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Genetta,pardina,3.1,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Genetta,piscivora,3,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Genetta,poensis,2.25,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Genetta,servalina,1.055,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Genetta,thierryi,1.4,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Genetta,tigrina,2.225,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Genetta,victoriae,3,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Hemigalus,derbyanus,2.323,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Macrogalidia,musschenbroekii,4,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Paguma,larvata,4.3,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Paradoxurus,hermaphroditus,3.157,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Paradoxurus,jerdoni,2.781,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Paradoxurus,zeylonensis,2.781,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Poiana,leightoni,0.6,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Poiana,richardsonii,0.5,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Viverra,civettina,12.794,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Viverra,megaspila,9.25,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Viverra,tangalunga,6.885,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Viverra,zibetha,9.5,Faurby et al (2018) Ecology 99 2626,Reported value
Viverridae,Viverricula,indica,2.908,Faurby et al (2018) Ecology 99 2626,Reported value
